logFC	logCPM	LR	PValue	FDR
ENSRNOT00000027656	2.83373774034404	10.6309989078851	373.955464648762	2.57619683423819e-83	6.95521621307626e-79
ENSRNOT00000009248	-1.61814760666428	8.11849693753238	333.657529144651	1.53527336044937e-74	2.0724655092706e-70
ENSRNOT00000007356	2.03089238305972	7.84919373661673	238.275531899079	9.34807271098213e-54	8.41264223503652e-50
ENSRNOT00000007879	-3.29551157286191	6.67391196069183	212.90721317336	3.18870644586658e-48	2.15221741563765e-44
ENSRNOT00000016129	-1.93931769832516	7.70371007126387	198.230025894484	5.08262713829211e-45	2.74441534959221e-41
ENSRNOT00000028793	-2.45135329977664	8.4213980754827	195.689906848167	1.82154899514958e-44	8.19636329517472e-41
ENSRNOT00000015185	2.11700422748214	7.16107622004094	186.424069893468	1.91830422648796e-42	7.39862535810315e-39
ENSRNOT00000009563	-1.6434990426296	7.67928142506303	180.598051295235	3.58791898404004e-41	1.21083295913891e-37
ENSRNOT00000009960	-0.917643756997221	8.93153972355654	165.588270890753	6.80463519200425e-38	2.0412393434859e-34
ENSRNOT00000044009	1.74106687421919	6.63786733362237	142.1380698509	9.07176256828842e-33	2.44919445818651e-29
ENSRNOT00000041140	-1.54243316063519	7.9135859719935	137.660567841377	8.64616078939768e-32	2.12208226356508e-28
ENSRNOT00000017325	-2.25102802326908	6.41475461338082	135.175921503184	3.02173617006381e-31	6.79840275994856e-28
ENSRNOT00000107999	-1.66336619124189	7.51003590079349	131.651854620276	1.782999322594e-30	3.7028781316456e-27
ENSRNOT00000104037	-1.625012372008	6.2135834399431	125.569941771271	3.8189020805877e-29	7.36447988369334e-26
ENSRNOT00000010079	-1.92831673089732	7.80018171126905	122.988274417555	1.40275432951558e-28	2.52477075921744e-25
ENSRNOT00000020219	0.963373577091548	9.39113515200197	112.772105441612	2.42057442887667e-26	4.08441677692576e-23
ENSRNOT00000059724	1.06842891606847	9.0407859284116	111.413899474289	4.80214529444408e-26	7.62637168584714e-23
ENSRNOT00000010333	2.34759046276036	4.9842902561535	110.464388182853	7.75256660409859e-26	1.16279885098585e-22
ENSRNOT00000082442	-2.5610073809231	7.62956690425093	108.828709726656	1.76934047487597e-25	2.51413969161587e-22
ENSRNOT00000047450	-0.703866730252799	12.0268439921316	108.008254193433	2.6766114483827e-25	3.5388487528467e-22
ENSRNOT00000016614	0.785594428913627	11.5998839493543	107.95274019135	2.75264181827471e-25	3.5388487528467e-22
ENSRNOT00000082850	-2.14811689215167	7.90944721959479	106.101713766552	7.00460268987345e-25	8.59592106460015e-22
ENSRNOT00000019181	0.796698695868832	8.56968870333363	105.330891960188	1.03352271195193e-24	1.21317592075123e-21
ENSRNOT00000075767	1.44971667481016	6.51849382736035	104.849773930719	1.31755736062454e-24	1.48214223425589e-21
ENSRNOT00000024072	1.36736536248304	7.31284997574687	98.0968245804041	3.98417231037315e-23	4.30258736141817e-20
ENSRNOT00000009840	-3.43139627059074	6.16216265047408	96.6264150009842	8.37237913393364e-23	8.69374968684387e-20
