logFC	logCPM	LR	PValue	FDR
ENSRNOT00000075397	0.89344357332107	10.4433484161418	145.567347798822	1.61408444098867e-33	4.35770517378121e-29
ENSRNOT00000009985	0.996260246346477	7.94463935219202	104.934799041293	1.26221620497743e-24	1.70386565509904e-20
ENSRNOT00000041808	0.830136621944975	9.08841478582789	96.4623372044579	9.09577468915836e-23	8.18559083526324e-19
ENSRNOT00000007356	1.24190688605153	7.84919373661673	92.6639170826	6.19732426847018e-22	4.18288401500395e-18
ENSRNOT00000013496	0.84515016436649	7.91113979031942	71.5023516666616	2.76927878598476e-17	1.43574313631182e-13
ENSRNOT00000009233	0.978490162824196	7.76869648692099	71.2228111945564	3.19077665674158e-17	1.43574313631182e-13
ENSRNOT00000016614	0.591979014833678	11.5998839493543	61.5985611010468	4.21126273571624e-15	1.62422387626953e-11
ENSRNOT00000020297	2.03036219747301	4.57577619085704	56.8021950294152	4.81928153072816e-14	1.62638703458249e-10
ENSRNOT00000033148	1.78622218527496	6.02843992976119	54.0667511271463	1.93792919181588e-13	5.81335692451614e-10
ENSRNOT00000002293	9.58502146625762	2.41071776513722	53.4279123450334	2.68258108580282e-13	6.81735391758371e-10
ENSRNOT00000027834	0.938302283498778	7.7112358446143	53.35950064667	2.77764623651459e-13	6.81735391758371e-10
ENSRNOT00000019181	0.56058830537747	8.56968870333363	52.3077240921167	4.74504421207014e-13	1.06755586364558e-09
ENSRNOT00000114086	1.06427782039369	5.83689060394536	51.2676966256032	8.05909413252394e-13	1.67368787222986e-09
ENSRNOT00000024436	0.804492907570337	6.88583069433116	47.0703843856602	6.84826941538211e-12	1.32063984054633e-08
ENSRNOT00000012883	0.941791620210512	7.08427907014558	45.3695472614953	1.63151518427422e-11	2.9365097963357e-08
ENSRNOT00000014033	-0.557316494231311	8.83457055169514	43.5877239230806	4.05374005889385e-11	6.84017963187601e-08
ENSRNOT00000099391	-0.626236315557322	8.43414653946049	42.7994344392243	6.06496912146509e-11	9.63188449066556e-08
ENSRNOT00000023554	0.897932542576325	6.54284925073226	42.1505946735288	8.45082436490203e-11	1.26752975668681e-07
ENSRNOT00000107803	0.687196446307146	7.66577948527609	41.8718787746445	9.74541847128755e-11	1.3847726730938e-07
ENSRNOT00000110990	0.635962326671633	9.01329528251234	40.8723852627088	1.62501178939203e-10	2.1936034145003e-07
ENSRNOT00000001201	-0.815892175965068	7.09431481519144	40.754789989561	1.72579897877855e-10	2.2187200394792e-07
ENSRNOT00000098587	-10.43133302085	2.60275343736028	40.5078429850366	1.95828402984233e-10	2.40317055625833e-07
ENSRNOT00000075767	0.891061754380476	6.51849382736035	40.1981755097578	2.29462447402554e-10	2.69349006738007e-07
ENSRNOT00000020219	0.565849202863475	9.39113515200197	39.2916474005977	3.64999361188628e-10	4.10593864723774e-07
ENSRNOT00000027497	-1.17852114536781	6.6231957450869	36.2900836469035	1.70026784447217e-09	1.83615325060238e-06
ENSRNOT00000018454	0.557022611964878	8.8782039866421	34.3556591074331	4.59063601237294e-09	4.76684581007864e-06
ENSRNOT00000026057	0.831711997419587	6.58411751224536	33.2075338570239	8.28289976959926e-09	8.28228622146818e-06
ENSRNOT00000075041	-9.61984657775513	1.54637834193103	32.6801492275436	1.08641102605057e-08	1.04753303147547e-05
ENSRNOT00000083387	-11.8112194372506	3.64467503268648	32.5277162750702	1.17504735231785e-08	1.0939285661337e-05
ENSRNOT00000027756	0.616233089526497	7.60995949160462	32.2376697012296	1.36420068133427e-08	1.22768966648875e-05
ENSRNOT00000089407	-0.418408769434991	9.34740196349074	31.6778794742366	1.8198324677464e-08	1.55685544978958e-05
ENSRNOT00000106513	-11.7795084024148	4.02554930874499	31.6508914775286	1.84529870335827e-08	1.55685544978958e-05
ENSRNOT00000094161	-11.7282891682482	3.92856600605599	30.7415581362566	2.94783502230039e-08	2.41168636157775e-05
ENSRNOT00000044171	0.725950493931029	7.35082511697355	30.5361734149452	3.27699010578314e-08	2.57840725237066e-05
ENSRNOT00000017090	0.897090720619627	6.79089816714943	30.4976989813676	3.34262737361927e-08	2.57840725237066e-05
ENSRNOT00000095534	9.30946294963791	1.98912993361097	29.5480229042495	5.45482669809385e-08	4.09081697764271e-05
ENSRNOT00000101170	-11.5133954356474	4.32616200737136	29.3474235200536	6.04968971705717e-08	4.41431143192188e-05
ENSRNOT00000086310	-0.400228934821682	10.2234331524665	29.1954410832596	6.54329831449848e-08	4.64884126039026e-05
ENSRNOT00000001289	-0.618394339290241	7.35235427362447	28.700985020551	8.44607607968969e-08	5.84685030767852e-05
ENSRNOT00000114214	0.699717236016526	6.80578118181032	28.5672903826385	9.04980892454185e-08	6.10816853361952e-05
ENSRNOT00000112805	8.72750611005085	0.78733893962245	28.4256094238861	9.73687454092054e-08	6.41161314282373e-05
ENSRNOT00000106886	0.661724641419649	8.83431839779065	28.3151819253637	1.03084330790572e-07	6.58296870244783e-05
ENSRNOT00000064452	-0.783743127765345	5.84157309960775	28.2823500652626	1.04847638419608e-07	6.58296870244783e-05
ENSRNOT00000101964	0.470169450277563	8.12793851696206	27.2860465538485	1.7547312798157e-07	0.000107668716119237
ENSRNOT00000006196	-0.669358202777793	6.58879433116558	27.0131027499354	2.02080974342151e-07	0.000121239603228653
ENSRNOT00000011808	0.798449579343238	6.17965871438752	26.7931110351633	2.26443136870959e-07	0.000132902430635699
ENSRNOT00000008329	0.625209853230616	7.32048510213055	26.6000091013611	2.50242574561255e-07	0.000143745724000101
ENSRNOT00000100620	8.74293187750259	1.21987996550356	26.4440623222931	2.71281082967432e-07	0.000152584305790724
ENSRNOT00000024072	0.701453082934525	7.31284997574687	26.3403786765434	2.86241269988717e-07	0.000157713098105212
ENSRNOT00000056041	0.504806622654459	8.42710421673686	26.2569166277934	2.98882451467146e-07	0.0001613845684942
ENSRNOT00000083425	11.0722134470411	3.57903852181311	26.1872741268798	3.09857811486828e-07	0.000164030219500419
ENSRNOT00000042714	-9.98949919050175	2.49374571067845	26.0211501850609	3.37697495704229e-07	0.000175329942096592
ENSRNOT00000107560	0.663457868367172	8.73554877525841	25.7038060027783	3.98041278584695e-07	0.000202760725268483
ENSRNOT00000079731	0.365388354739077	10.1765353977291	25.4905429015846	4.44556673400551e-07	0.000222261871638298
ENSRNOT00000085784	0.527155177486235	7.44730431609402	25.4421125830063	4.55857570395026e-07	0.000223768048827726
ENSRNOT00000014491	0.4614483921325	8.65571444806994	24.9260895620292	5.95707763396276e-07	0.000287194967788798
ENSRNOT00000027574	9.67021376425258	3.28776925720425	24.7879024072171	6.39978737362326e-07	0.000303125367566808
ENSRNOT00000011635	-9.24839374203845	1.64644275345817	24.4750861802718	7.52769528782502e-07	0.000350401236863276
