"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"rno04110","Cellular Processes","Cell growth and death","rno04110","Cell cycle","145/5855","159/10049",1.28701647067353e-20,4.38872616499674e-18,1.8560132261292e-18,"Ppp2r5a/Anapc16/Hdac2/Pds5b/Mad1l1/Anapc7/Anapc5/Mcm7/Ywhag/Mcm4/Tgfb2/Pds5a/Gsk3b/Hdac8/Smc1a/Pkmyt1/Mcm6/Pttg1/Fzr1/Mtbp/Anapc4/Myc/Rad21/Orc4/Crebbp/Ywhae/Mad2l1/Ppp2r5c/Cul1/Ppp2ca/Skp1/Gadd45a/Cdc27/Aurkb/Bub1b/Ccne2/Orc3/Anapc13/Chek1/Cdkn2c/Orc1/Hdac1/Wee1/Tgfb3/Zbtb17/Tfdp2/Ppp2r1a/Anapc2/Orc5/Ywhab/Mcm3/Espl1/Rbl2/Gadd45g/Cdt1/Smc3/Ccne1/Ppp2cb/E2f4/Ccna2/Trip13/Rb1/Mcm2/E2f1/Ppp2r5d/Cdc16/Anapc10/Cdk7/Plk1/Tfdp1/Mad2l1bp/Gadd45b/Anapc15/Mau2/Bub3/Tgfb1/Cdc25a/Ppp2r5b/Pcna/Fbxo5/Ticrr/Cdk4/Cdk2/Cdc14b/Esco1/Prkdc/Ywhaz/Cdc20/Cdc25c/Cdc23/Cdc6/Orc6/Smad3/Ccna1/Knl1/Abl1/Stag2/E2f5/Tp53/Smad2/Ccnh/Cdkn1b/Atr/Atm/Cdc25b/Ttk/Bub1/Orc2/Mad2l2/Anapc1/Chek2/Ppp2r1b/Mcm5/Cdc14a/Rbl1/Sgo1/Mdm2/Stag1/Cdc7/Dbf4/Cdca5/E2f2/Ccnd3/Esco2/Ppp2r5e/Ywhaq/Wapl/Ddx11/Ndc80/E2f3/Smad4/Ccnb1/Nipbl/Ywhah/Rbx1/Cdk1/Atrx/Ccnd1/Skp2/Cdkn1a/Cdkn2d/Ccnd2/Ccnb2/Cdc45/Ep300",145
"rno04144","Cellular Processes","Transport and catabolism","rno04144","Endocytosis","226/5855","273/10049",1.39123240482792e-18,2.3720512502316e-16,1.00315178663908e-16,"Ldlrap1/Chmp2b/RT1-M3-1/RT1-N3/RT1-S3/Arpc1b/Arpc1a/Cyth3/Vps37b/Vps29/Tfrc/Snx4/Cblb/Pdgfra/Chmp1b2/Vps4b/Cyth1/Rufy1/Cxcr4/Chmp6/Cltc/Egfr/Traf6/Kif5c/Sh3kbp1/Arf2/Actr2/Washc3/Snx6/Kif5a/Arfgef1/Snf8/Sh3gl2/Wwp1/Wasl/Tgfbr1/Arfgef2/Rab11b/Chmp3/Ehd3/Arf5/Ehd4/Dnm2/Washc4/Arpc3/Chmp5/Arpc4/Pdcd6ip/Rab11fip2/Src/Wipf3/Prkci/LOC680121/Washc5/Ldlr/Arfgap1/Pard6b/Stambp/Usp8/Smap2/Rab11a/Rbsn/Washc2c/Grk5/Vps37a/Rab7a/Vps36/Amph/Ehd2/Bin1/Arf4/Zfyve16/Sh3glb1/Cdc42/Tsg101/Iqsec3/Eps15l1/Rab11fip4/Arpc2/Igf1r/Arpc5l/Vps28/Clta/Smurf2/Ap2a1/Ist1/Prkcz/Epn1/Ap2s1/Chmp1a/Igf2r/Hras/Snx1/Fgfr3/Mvb12b/Chmp7/Sh3glb2/Cltb/Kif5b/Nedd4l/Vps35/Mvb12a/Grk2/Psd2/Arrb2/Psd/Rab11fip3/Vps25/Cyth2/Pip5k1a/Vps45/Wipf2/Acap2/Eea1/Rnf41/Rab35/Arap1/Rab5c/Chmp2a/Smurf1/Gbf1/Snx32/Zfyve9/Stam2/Pld1/Smad3/Zfyve27/Rabep1/RT1-M6-1/RT1-M6-2/Actr3b/Fgfr4/Pard3/Pml/Arrb1/Hspa8/Pard6a/Git2/Smad2/RT1-T24-4/Dnm1/Grk6/RT1-CE2/Rab4a/RT1-N2/Vps4a/Snx2/Spg21/Chmp4bl1/Ehd1/Hgs/Capza1/Pld2/Arfgap2/Spart/Ap2m1/RT1-CE16/Pip5k1c/RT1-T24-3/Rab5b/Hspa1a/Arpc5/Eps15/Ap2a2/Agap3/Rab22a/Vta1/Agap1/Mdm2/Acap3/Rab31/Snx12/Psd3/Pip5k1b/Smap1/Rab10/Vps37d/Rhoa/Vps26b/Chmp4b/Vps37c/Pip5kl1/Hspa1l/Snx3/Snx5/Sh3gl1/Arfgap3/Stam/Il2rb/Rab8a/Arf3/Rab11fip1/Iqsec2/Itch/Git1/RT1-CE11/Asap1/Sh3gl3/Arf1/Arap3/Vps26a/Grk3/RT1-CE1/Arap2/RT1-O1/Capzb/Agap2/Rab5a/Actr3/Pard6g/Rufy2/Iqsec1/Epn2/Ap2b1/Dnajc6/Rab11fip5/Asap2/Nedd4/Capza2/Grk4/Arf6/RT1-CE15/Washc1/Cbl/Dnm3/Cav1",226
"rno04140","Cellular Processes","Transport and catabolism","rno04140","Autophagy - animal","157/5855","180/10049",1.29975597110136e-17,1.47738928715187e-15,6.24794975582055e-16,"Pik3r3/Atg12/Lamp2/Nrbf2/Wipi2/Camkk2/Irs3/Mapk1/Snap29/Atg3/LOC100363472/Ulk2/Mapk9/RragB/Sqstm1/Wipi1/Rps6kb1/Rptor/Vmp1/Deptor/Rps27a/Traf6/Birc6/Smcr8/Ppp2ca/Stx17/Map3k7/Eif2ak3/Eif2ak4/Tbk1/Mtmr4/Atg101/Prkaa2/Mtmr14/Bcl2l1/Vps39/Tax1bp1/Atg4c/Zfyve1/Tank/RGD1359108/Wdr45/Eif2s1/Raf1/Map2k1/Mtor/Ctsb/Mlst8/Ins1/Tsc2/Atg14/Rab7a/Cflar/Tsc1/Rras2/Ern1/Rab33b/Prkaa1/Sh3glb1/Pik3r4/Vps18/Igf1r/Irs1/Ppp2cb/Ykt6/Rab1a/Stx7/Uvrag/Pik3cb/Hras/Atg13/Bnip3/Rragc/Gabarap/Gorasp1/Atg16l1/Ctsl/Atg4b/Pik3r1/Atg9a/Prkcd/Prkcq/Pik3r2/Atg16l2/Lamp1/Uba52/Map2k2/Ctsd/Akt1s1/Dapk3/Ins2/Rras/Pten/Nbr1/Bad/Vps16/Rps6kb2/Atg9b/Akt1/Irs2/Map1lc3a/Wdr41/Plekhm1/Nras/Prkaca/RGD1560263/Optn/Itpr1/LOC108348989/Ambra1/Gabarapl2/Hif1a/Mras/Wdr45b/Tp53inp2/Ulk1/Atg5/Mtmr3/Akt3/Igbp1/Stk11/Rb1cc1/Mapk8/Vps11/Mapk10/Pik3c3/Dapk1/Map1lc3b/Atg7/Pdpk1/Rragd/Prkacb/Rheb/Atg4d/Becn1/Gabarapl1/Rab8a/Epg5/Supt20h/Rubcn/Pik3ca/Ddit4/Ubc/Mapk3/Wdfy3/Gorasp2/Dapk2/Atg2a/Vps33a/Vps41/Atg10/Vamp8/Hmgb1/Akt2/Atg4a/LOC108349189/Ubb",157
"rno04010","Environmental Information Processing","Signal transduction","rno04010","MAPK signaling pathway","239/5855","302/10049",5.92323163622982e-15,4.55939623836686e-13,1.92819041412644e-13,"Daxx/Mapk14/Mapk13/Taok3/Gna12/Pdgfa/Mapkapk5/Map3k20/Atf2/Mapk1/Crkl/Il1rap/Kit/Pdgfra/Tgfb2/Mapk9/Cacng4/Map3k14/Prkca/Map2k4/Grb2/Dusp10/Egfr/Cacnb1/Traf6/Cacna1b/Myc/Map2k6/Ptprr/Crk/Sos2/Mapt/Ngfr/Map3k7/Rasgrp1/Gadd45a/Pgf/Ptpn7/Irak4/Angpt1/Ppm1a/Traf2/Kitlg/Rps6ka3/Ddit3/Dusp16/Mapk11/Sos1/Tgfbr1/Rap1b/Map3k9/Nr4a1/Map4k3/Fos/Cacna2d4/Max/Pla2g4f/Map2k5/Nlk/Jun/Fgf22/Epha2/Rapgef2/Ppp3cc/LOC680121/Tgfb3/Elk1/Raf1/Map2k1/Lamtor3/Casp3/Braf/Dusp7/Fgf9/Vegfc/Ins1/Rasa2/Dusp4/Prkcb/Rras2/Rps6ka2/Map3k1/Cdc42/Gadd45g/Myd88/Dusp5/Ntrk1/Ecsit/Map4k4/Igf1r/Il1r1/Mapkapk3/Tradd/Map3k12/Cacna2d2/Taok1/Efna2/Tab2/Map3k8/Hras/Stmn1/Angpt2/Ppp5c/Fgfr3/Pdgfb/Csf1/Ikbkb/Fas/Arrb2/Nfkb2/Jund/Vegfa/Artn/Gadd45b/Map3k21/Map2k2/Ins2/Rras/Map4k1/Efna1/Efna4/Flt3lg/Tgfb1/Map3k11/Ntf4/Rasgrp2/Rps6ka4/Fgfr1/Pla2g4e/Chuk/Akt1/Cacnb2/Map3k10/Map3k13/Nfkb1/Dusp6/Nras/Araf/Relb/Cacna1d/Mknk2/Cacna1c/Prkaca/Mapk8ip3/Ntrk2/Fgfr4/Cacna2d1/Arrb1/Cacna1h/Mapk12/Dusp8/Hspa8/Efna5/Rela/Rasa1/Nf1/Tp53/Ret/Rap1a/Ppp3ca/Cacna2d3/Tnfrsf1a/Pak1/Pak2/Mras/Vegfb/Cdc25b/Rasgrp3/Map3k5/Dusp3/Mapk8ip2/Tgfa/Akt3/Nfatc1/Map3k2/Mapkapk2/Srf/Map2k7/Hspa1a/Map3k4/Rps6ka5/Map4k2/Taok2/Elk4/Mapk8/Atf4/Stk3/Mapk10/Stk4/Pla2g4b/Insr/Mknk1/Tab1/Mecom/Rps6ka1/Prkacb/Kdr/Fgf18/Nrtn/Mapk7/Bdnf/Map2k3/Rac3/Hspa1l/Gng12/Ikbkg/Cacng8/Ppm1b/Mapk8ip1/Flna/Igf2/Cacnb3/Rps6ka6/Ppp3cb/Pdgfc/Cacna1a/Efna3/Cacna1i/Met/Rac1/Fgf1/Nfatc3/Mapk3/Map3k3/Flt3/Egf/Cacng7/Cacna1g/Irak1/Map3k6/Akt2/Ppp3r2/Prkcg/Cacng2/Cacng6/Cacna1e/Pspn/Erbb3/Cacna1s",239
"rno05014","Human Diseases","Neurodegenerative disease","rno05014","Amyotrophic lateral sclerosis","311/5855","408/10049",6.68533172781064e-15,4.55939623836686e-13,1.92819041412644e-13,"Fig4/Daxx/Mapk14/Mapk13/Dnah8/Nrbf2/Chmp2b/Wipi2/Nos1/Cox6a1/Ndufv3/Atxn2/Pom121/Nup153/Psmb1/Atp5pf/Psmd2/Atp5po/Sod1/LOC100363472/Nup54/Ndufb4/Ulk2/Atp5f1b/Dnah17/Sdhc/Psmd12/Sqstm1/Tomm40l/Tuba4a/Atp5pd/Nup85/Wipi1/Psmc1/Pfn1/Dnah9/Nxt1/Map2k6/Kif5c/Nup37/Smcr8/Dnah11/Derl1/Vapb/Ndufa4/Slc1a2/Kif5a/Dctn2/Traf2/Cyct/Eif2ak3/Vdac1/Nup210/Ddit3/Nup88/Ndufa7/Nup107/Psmd6/Tbk1/Hdac6/Mapk11/Psmc6/Psma6/Ndufa12/Atg101/Casp12/Actr10/Cox4i2/Sdhb/Psma3/Bcl2l1/Apaf1/Ndufb11/Cat/Ndufa6/Nefh/Tank/Ndufb9/Ndufs3/Nup35/Ppp3cc/RGD1359108/Ndufb2/Dctn1/Eif2s1/Sem1/Tubb4b/Psmc5/Xbp1/Cycs/Casp3/Mtor/Ndc1/Sec13/Cox6c/LOC120096281/Nup205/Anxa11/Hnrnpa2b1/Ndufs4/Psmb2/Psmc3/Klc1/Psma1/Ndufb5/Ndufb3/Atg14/Psmc2/Ndufc2/Uqcrh/Bid/Ndufv2/Cyc1/Nup58/Ern1/Dctn6/Casp9/Setx/Psmb5/Nup50/Psma4/Sdha/Nefl/Nefm/Pik3r4/Ndufb8/Psmd7/Dctn3l1/Dctn3/Ndufb10/Psmd13/Sigmar1/Hap1/Gle1/Atp5f1d/Atp5mc2/Dnal4/Rab1a/Uqcrc2/Atp5pb/Ndufa10/Cox5b/Actr1b/Atg13/Spg11/Atp5f1a/Tubb3/Pfn2/Ndufs8/Ndufa2/Kif5b/Cox4i1/Nup133/Psmd1/Dctn5/Ndufab1/Ndufv1/Uqcrfs1/Tubb6/Hspa5/Nup93/Tomm40/Cox5a/Psmc4/Nrg2/Nxt2/Nxf1/Ubqln2/Dctn4/Psmb6/Actr1a/Cox6a2/Psma5/Matr3/Ubqln4/Nup98/Psmd8/Ndufa13/Bax/Psmb4/Psmd4/Grin2d/Bad/Ndufs6/Atf6/Ndufb6/Nup160/Ncbp1/Nup188/Chchd10/Klc4/Fus/Cox6b1/Tuba1c/Map1lc3a/Als2/Ndufb7/Ndufs5/Dnal1/Wdr41/Uqcrb/Nup214/Rae1/Srsf7/Cox7a2l2/Cox7a2/Dnai2/Ndufs7/Psmd3/ND2/Klc2/ND3/CYTB/Uqcrc1/RGD1560263/Optn/ND4/COX2/Grin1/Mapk12/ND4L/Ndufa8/Ndufa4l2/Ambra1/Vcp/ATP6/ATP8/Tp53/ND1/Ppp3ca/Tnfrsf1a/ND5/COX3/Tardbp/COX1/ND6/Map3k5/Cox7c/Alyref/Actg1/LOC100361457/Hnrnpa1/Ulk1/Atp5mc3/Ndufs2/Sdhd/Ubqln1/Anxa7/Rb1cc1/Tpr/Psmd11/Atp5f1c/Atf4/Cox7a2l/Pik3c3/Map1lc3b/Dnai1/Klc3/Atxn2l/Ndufa11/LOC100361879/Ranbp2/Mcu/Gpx1/Nup43/Map2k3/Psma2/Ccs/Nup62/Tubb1/Tubb4a/Becn1/Prkn/Rab8a/Gria2/Hnrnpa3/Dnah12/Tubb5/Actb/Tuba1b/Tuba1a/Ndufa1/Ppp3cb/Psma7/Nup155/Psmd14/Dnah10/Uqcr10/Rab5a/Psmb7/Tubb2a/Psmb3/Nup210l/Rac1/Ndufa9/Prph/Cox7b/Atg2a/Dnah2/Itpr3/Adrm1/Srsf3/Ndufa10l1/Ndufa5/Ndufs1/Nrg1/Uqcrq/Ppp3r2/Ndufc1/Dnah3/LOC120097699",311
"rno04910","Organismal Systems","Endocrine system","rno04910","Insulin signaling pathway","121/5855","138/10049",3.07536894527195e-14,1.74783468389622e-12,7.3916762368817e-13,"Pik3r3/Phkg1/Prkab1/Irs3/Sh2b2/Mapk1/Crkl/Cblb/Socs1/Gsk3b/Mapk9/Srebf1/Rps6kb1/Rptor/Grb2/Ppp1cb/Crk/Sos2/Pygl/Sos1/Calml4/Pygb/Prkaa2/Shc2/Shc4/Socs2/Prkar2b/Prkci/Elk1/Raf1/Map2k1/Flot2/Mtor/Ptpn1/Braf/Pde3b/Ins1/Tsc2/Tsc1/Prkaa1/Foxo1/Shc3/Irs1/Ppp1r3e/Sorbs1/Prkcz/Pik3cb/Hras/Calm3/Slc2a4/Fbp1/Fbp2/Ppp1r3c/Pck2/Ppp1ca/Pik3r1/Ikbkb/Pik3r2/Eif4e2/Ptprf/Map2k2/Prkar2a/Ins2/Pklr/Lipe/G6pc1/Shc1/Gys1/G6pc3/Bad/Rps6kb2/Akt1/Irs2/Nras/Araf/Mknk2/Phka1/Acaca/Prkaca/Ppp1cc/Ppp1r3b/Inpp5a/Akt3/Rapgef1/Prkab2/Calm1/Mapk8/Mapk10/Inppl1/Insr/Mknk1/Pdpk1/Exoc7/Prkacb/Prkar1a/Rheb/Rps6/Fasn/Gck/Acacb/Trip10/Prkag1/Flot1/Pik3ca/Phkb/Phkg2/Mapk3/Ppp1r3d/Eif4e/Eif4e1b/Phka2/Prkag2/Eif4ebp1/Akt2/Prkar1b/Cbl/Ppargc1a/Socs4/Calm2/Socs3/Ppp1r3f",121
"rno04137","Cellular Processes","Transport and catabolism","rno04137","Mitophagy - animal","93/5855","102/10049",1.22431446413781e-13,5.96416046101417e-12,2.5222719035621e-12,"Foxo3/Rabgef1/Ccz1/Fis1/Mtx2/Tomm70/Opa1/Mapk9/Sqstm1/Tomm40l/Fundc1/Rhot1/Rps27a/Traf2/Eif2ak3/Tbk1/Bcl2l1/Tax1bp1/Jun/Src/Tfe3/Eif2s1/Arih1/Bnip3l/Usp8/Csnk2a2/Rab7a/Samm50/Bcl2l13/Rras2/Phb2/Sp1/Smurf2/Siah1/Mul1/Hras/E2f1/Bnip3/Marchf5/Gabarap/Mon1a/Tomm40/Atg9a/Uba52/Rhot2/Tomm20/Tbc1d17/Rras/Nbr1/Atg9b/Rab5c/Usp30/Usp15/Smurf1/Map1lc3a/Tfeb/Nras/Optn/Rela/Ambra1/Vcp/Tp53/Gabarapl2/Hif1a/Mras/Mitf/Mfn2/Pgam5/Ulk1/Mtx3/Rab5b/Mtx1/Mapk8/Atf4/Mon1b/Tomm7/Mapk10/Map1lc3b/Tbc1d15/Becn1/Csnk2b/Mfn1/Gabarapl1/Prkn/Fkbp8/Nlrx1/Huwe1/Amfr/Rab5a/Ubc/Cited2/Csnk2a1/Ubb",93
"rno05012","Human Diseases","Neurodegenerative disease","rno05012","Parkinson disease","236/5855","303/10049",2.31095024866917e-13,9.85042543495235e-12,4.16579189562732e-12,"Slc39a7/Daxx/Cox6a1/Ndufv3/Ube2g2/Adora2a/Psmb1/Nfe2l2/Atp5pf/Psmd2/Atp5po/Sod1/Uchl1/Gpr37/Ndufb4/Atp5f1b/Mapk9/Sdhc/Psmd12/Tuba4a/Atp5pd/Psmc1/Lrrk2/Rps27a/Kif5c/Mapt/Ndufa4/Kif5a/Cyct/Eif2ak3/Vdac1/Ddit3/Trap1/Ndufa7/Psmd6/Psmc6/Psma6/Calml4/Ndufa12/Cox4i2/Sdhb/Psma3/Bcl2l1/Apaf1/Ndufb11/Ndufa6/Ndufb9/Slc18a2/Ndufs3/Slc39a14/Ndufb2/Eif2s1/Ube2g1/Sem1/Tubb4b/Psmc5/Xbp1/Cycs/Casp3/Cox6c/Slc25a4/Slc25a5/Slc25a6/Ndufs4/Camk2d/Psmb2/Psmc3/Klc1/Psma1/Ndufb5/Ndufb3/Slc39a13/Slc18a1/Slc39a10/Txn1/Psmc2/Ndufc2/Uqcrh/Ndufv2/Cyc1/Ern1/Casp9/Psmb5/Psma4/Sdha/Vdac2/Ndufb8/Psmd7/Ndufb10/Psmd13/Atp5f1d/Atp5mc2/Uqcrc2/Atp5pb/Ndufa10/Cox5b/Gnai2/Calm3/Atp5f1a/Tubb3/Ndufs8/Ndufa2/Kif5b/Cox4i1/Psmd1/Ndufab1/Ndufv1/Uqcrfs1/Park7/Tubb6/Hspa5/Sncaip/Gnal/Cox5a/Psmc4/Vdac3/Psmb6/Slc11a2/Gnai3/Ube2j2/Cox6a2/Psma5/Uba52/Th/Psmd8/Ndufa13/Bax/Keap1/Psmb4/Psmd4/Ndufs6/Atf6/Ndufb6/Uba1/Klc4/Cox6b1/Tuba1c/Ndufb7/Gnas/Slc39a6/Ndufs5/Uqcrb/Htra2/Cox7a2l2/Cox7a2/Snca/Ndufs7/Psmd3/Itpr2/ND2/Septin5/Klc2/ND3/Camk2a/Prkaca/CYTB/Uqcrc1/Slc39a11/ND4/Itpr1/COX2/Maob/Ube2l6/ND4L/Ndufa8/Ndufa4l2/Slc39a5/Drd2/ATP6/Ube2l3/ATP8/Tp53/ND1/ND5/Adcy5/COX3/COX1/ND6/Map3k5/Cox7c/Mfn2/Atp5mc3/Ndufs2/Sdhd/Psmd11/Calm1/Atp5f1c/Mapk8/Atf4/Cox7a2l/Camk2g/Mapk10/Maoa/Camk2b/Txn2/Klc3/Uba7/Prkacb/Ndufa11/LOC100361879/Mcu/Slc39a3/Psma2/Tubb1/Tubb4a/Ube2j1/Mfn1/Prkn/Plcg1/Tubb5/Tuba1b/Tuba1a/Ndufa1/Psma7/Psmd14/Uqcr10/Ubc/Psmb7/Tubb2a/Psmb3/Slc39a1/Ndufa9/Slc39a9/Cox7b/Itpr3/Gnai1/Adrm1/Ndufa10l1/Ndufa5/Ndufs1/Uqcrq/Ppif/Ndufc1/Calm2/LOC120097699/Ubb",236
"rno04360","Organismal Systems","Development and regeneration","rno04360","Axon guidance","153/5855","184/10049",2.6576085162836e-13,1.00693833783634e-11,4.25839025416202e-12,"Pik3r3/Fyn/Limk1/Mapk1/Gsk3b/Prkca/Cxcr4/Ntn1/Sema6a/Slit2/Srgap1/Rock2/Pak3/Pak5/Ntn4/Sema3e/Srgap2/Srgap3/Sema3c/Sema4f/Trpc5/Sema3d/Neo1/Efnb1/Ntn3/Epha7/Plxna2/Pak6/Ablim2/Sema7a/Lrrc4/Cdk5/Ptk2/Dpysl5/Epha2/Src/Ppp3cc/Dpysl2/Raf1/Efnb3/Nrp1/Pard6b/Itgb1/Trpc4/Camk2d/Unc5d/Cfl1/Fes/Sema5a/Ephb2/Plxna4/Epha8/Wnt4/Cdc42/Ssh2/Ephb6/Sema4g/Nck1/Myl12a/Wnt5a/Prkcz/Efna2/Sema4c/Pik3cb/Hras/Ngef/Gnai2/Plxna1/Nck2/Epha1/Ssh3/Sema3g/Pik3r1/Ilk/Limk2/Rhod/Pik3r2/Ptch1/Gnai3/Pak4/Lrig2/Nfatc4/Rras/Efna1/Efna4/Sema6c/Sema4b/Sema3a/Slit1/Unc5b/Nras/Enah/Camk2a/Robo1/Abl1/Pard3/Plxnb1/Ssh1/Ephb3/Pard6a/Efna5/Rasa1/Ptpn11/Ppp3ca/Pak1/Pak2/Unc5c/Rock1/Sema4a/Rgs3/Arhgef12/Dcc/Camk2g/Robo2/Sema6d/Sema3b/Cxcl12/Camk2b/Ryk/Pdpk1/Rgma/Sema6b/Fzd3/Rhoa/Cfl2/Rac3/Sema4d/Rnd1/Plcg1/Trpc1/L1cam/Ppp3cb/Ntng2/Plxna3/Pik3ca/Efna3/Pard6g/Sema3f/Met/Rac1/Unc5a/Nfatc3/Mapk3/Plxnb2/Gnai1/Ablim1/Ephb1/Ablim3/Ephb4/Plxnc1/Nfatc2/Efnb2/Ppp3r2",153
"rno05010","Human Diseases","Neurodegenerative disease","rno05010","Alzheimer disease","323/5855","434/10049",5.37585132341542e-13,1.83316530128466e-11,7.75254348745171e-12,"Pik3r3/Ager/Slc39a7/Nrbf2/Wipi2/Nos1/Cox6a1/Ndufv3/Atp2a2/Irs3/Fzd9/Psmb1/Atp5pf/Dvl3/Psmd2/Mapk1/Bace2/Atp5po/LOC100363472/Ndufb4/Ulk2/Gsk3b/Atp5f1b/Mapk9/Sdhc/Psmd12/Tuba4a/Atp5pd/Wnt9b/Wipi1/Wnt3/Psmc1/Fzd6/Kif5c/Plcb1/Rtn4/Mapt/Ndufa4/Kif5a/Ncstn/Traf2/Cyct/Eif2ak3/Vdac1/Ddit3/Ndufa7/Psmd6/Psmc6/Psma6/Calml4/Ndufa12/Atg101/Casp12/Cox4i2/Sdhb/Psma3/Apaf1/Cdk5/Ndufb11/Ndufa6/Ndufb9/Ndufs3/Psen1/Ppp3cc/Slc39a14/Ndufb2/Eif2s1/Raf1/Sem1/Tubb4b/Map2k1/Psmc5/Xbp1/Cycs/Casp3/Mtor/Cox6c/Braf/Slc25a4/Slc25a5/Slc25a6/Dkk2/Ndufs4/Psmb2/Psmc3/Klc1/Psma1/Ndufb5/Ins1/Ndufb3/Slc39a13/Slc39a10/Atg14/Csnk2a2/Psmc2/Ndufc2/Lpl/Uqcrh/Bid/Ndufv2/Cyc1/Ern1/Casp9/Psmb5/Wnt4/Psma4/Sdha/Vdac2/Pik3r4/Ndufb8/Psmd7/Gnaq/Irs1/Ndufb10/Psmd13/Fzd5/Atp5f1d/Atp5mc2/Wnt5a/Uqcrc2/Fzd7/Wnt11/Atp5pb/Ndufa10/Pik3cb/Lrp5/Hras/Cox5b/Calm3/Bace1/Atg13/Atp5f1a/Ide/Tubb3/Ndufs8/Ndufa2/Kif5b/Cox4i1/Aph1b/Aph1bl2/Psmd1/Dvl2/Apbb1/Ndufab1/Ndufv1/Uqcrfs1/Tubb6/Csf1/Cox5a/Pik3r1/Psmc4/Ikbkb/Fas/Dkk4/Vdac3/Pik3r2/Dvl1/Psmb6/Slc11a2/Cox6a2/Psma5/Map2k2/Ins2/Apc/Psmd8/Ndufa13/Capn1/Psenen/Psmb4/Psmd4/Grin2d/Bad/Plcb3/Rtn3/Ndufs6/Atf6/Ndufb6/Chuk/Lrp1/Akt1/Klc4/Cox6b1/Irs2/Fzd2/Tuba1c/Ndufb7/Slc39a6/Ndufs5/Nfkb1/Uqcrb/Ppid/Cox7a2l2/Cox7a2/Snca/Nras/Ndufs7/Psmd3/Araf/Psen2/Itpr2/Cacna1d/ND2/Klc2/ND3/Cacna1c/Apoe/CYTB/Uqcrc1/Slc39a11/Mme/RGD1560263/Plcb4/ND4/Hsd17b10/Itpr1/COX2/App/Grin1/Csnk1a1/ND4L/Ndufa8/Ndufa4l2/Rela/Capn2/Slc39a5/Ambra1/ATP6/ATP8/ND1/Ppp3ca/Nae1/Tnfrsf1a/ND5/Apc2/COX3/COX1/Gapdh/LOC303448/ND6/Map3k5/Cox7c/Aph1a/Ulk1/Akt3/Atp5mc3/Wnt9a/Ndufs2/Sdhd/Map2k7/Rb1cc1/Psmd11/Calm1/Atp5f1c/Atp2a3/Mapk8/Atf4/Cox7a2l/Mapk10/Pik3c3/Insr/Klc3/Ndufa11/LOC100361879/Fzd3/Mcu/Frat2/Eif2ak2/Slc39a3/Psma2/Dkk1/Fadd/Tubb1/Chrm3/Tubb4a/Becn1/Csnk2b/Ikbkg/Ctnnb1/Tubb5/Casp7/Adam17/Tuba1b/Tuba1a/Ndufa1/Lrp6/Ppp3cb/Psma7/Psmd14/Adam10/Pik3ca/Uqcr10/Psmb7/Tubb2a/Psmb3/Mapk3/Csnk1e/Axin2/Slc39a1/Ndufa9/Slc39a9/Cox7b/Atg2a/Itpr3/Adrm1/Ndufa10l1/Ndufa5/Ndufs1/Akt2/Uqcrq/Frat1/Ppp3r2/Il6/Fzd4/Ppif/Wnt7b/Ndufc1/Axin1/Calm2/Csnk2a1/Fzd8/LOC120097699/Cacna1s/Cdk5r1",323
